"Laikotarpis","Rodiklis","Statinių pagal tipą klasifikatorius (CC) (gyvenamieji pastatai, vieno ir dviejų butų pastatai)","Kambarių skaičius","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2023","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","22"
"2023","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","19"
"2023","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","4"
"2022","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","73"
"2022","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","73"
"2022","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","9.8"
"2022","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","9.8"
"2022","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","70"
"2022","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","68"
"2022","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","72"
"2022","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","70"
"2022","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","28"
"2022","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","28"
"2022","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","28"
"2022","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","27"
"2022","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","3.8"
"2022","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","3.8"
"2022","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","10.8"
"2022","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","9.1"
"2022","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","99"
"2022","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.","13"
"2022","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.","18"
"2022","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","21"
"2022","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","24"
"2022","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","15"
"2022","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","8"
"2021","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","98"
"2021","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","98"
"2021","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","14.3"
"2021","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","14.3"
"2021","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","84"
"2021","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","84"
"2021","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","94"
"2021","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","94"
"2021","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","56"
"2021","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","56"
"2021","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","50"
"2021","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","50"
"2021","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","8.0"
"2021","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","8.0"
"2021","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","4.5"
"2021","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","3.8"
"2021","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","31"
"2021","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
